1,Jon Yang,55,50 And Above,VIP,3,8249,8,2013-05-03,28,153,2749,294
2,Eugene Huang,50,50 And Above,VIP,3,6384,10,2013-12-10,35,146,2128,182
3,Ruben Torres,55,50 And Above,VIP,3,8114,4,2013-02-23,25,156,2704,324
4,Christy Zhu,53,50 And Above,VIP,3,8139,9,2013-05-10,29,153,2713,280
5,Elizabeth Johnson,47,40-49,VIP,3,8196,6,2013-05-01,28,153,2732,292
6,Julio Ruiz,50,50 And Above,VIP,3,8121,6,2013-05-02,29,153,2707,280
7,Janet Alvarez,50,50 And Above,VIP,3,8119,5,2013-05-14,28,153,2706,289
8,Marco Mehta,57,50 And Above,VIP,3,8211,8,2013-03-19,26,155,2737,315
9,Rob Verhoff,51,50 And Above,VIP,3,8106,7,2013-03-02,26,155,2702,311
10,Shannon Carlson,57,50 And Above,VIP,3,8091,5,2013-05-09,28,153,2697,288
11,Jacquelyn Suarez,57,50 And Above,VIP,3,8088,4,2013-05-23,28,153,2696,288
12,Curtis Lu,57,50 And Above,VIP,3,8133,4,2013-03-19,27,155,2711,301
13,Lauren Walker,47,40-49,New,2,81,5,2013-10-15,7,148,40,11
14,Ian Jenkins,47,40-49,New,2,114,5,2014-01-21,9,145,57,12
15,Sydney Bennett,53,50 And Above,New,2,138,5,2013-04-30,1,154,69,138
16,Chloe Young,42,40-49,New,1,2501,3,2013-01-18,0,157,2501,2501
17,Wyatt Hill,42,40-49,New,1,2332,3,2013-02-09,0,156,2332,2332
18,Shannon Wang,77,50 And Above,VIP,3,6434,4,2013-10-14,33,148,2144,194
19,Clarence Rai,71,50 And Above,VIP,3,6533,7,2013-10-24,33,148,2177,197
20,Luke Lal,43,40-49,New,17,880,20,2014-01-12,11,145,51,80
21,Jordan King,42,40-49,New,1,2317,2,2012-12-29,0,158,2317,2317
22,Destiny Wilson,42,40-49,New,1,2372,3,2013-01-23,0,157,2372,2372
23,Ethan Zhang,42,40-49,New,1,2322,2,2013-01-20,0,157,2322,2322
24,Seth Edwards,42,40-49,New,2,122,6,2014-01-14,11,145,61,11
25,Russell Xie,42,40-49,New,2,56,5,2013-07-26,1,151,28,56
26,Alejandro Beck,75,50 And Above,VIP,3,6577,6,2013-10-25,33,148,2192,199
27,Harold Sai,75,50 And Above,VIP,3,6575,7,2013-10-15,33,148,2191,199
28,Jessie Zhao,74,50 And Above,VIP,3,6591,9,2013-10-24,33,148,2197,199
29,Jill Jimenez,75,50 And Above,VIP,3,6474,5,2013-10-07,33,148,2158,196
30,Jimmy Moreno,74,50 And Above,VIP,3,6565,7,2013-11-11,34,147,2188,193
31,Bethany Yuan,68,50 And Above,VIP,3,6471,4,2013-11-09,33,147,2157,196
32,Theresa Ramos,73,50 And Above,VIP,3,6478,6,2013-11-13,33,147,2159,196
33,Denise Stone,74,50 And Above,VIP,3,6525,10,2013-11-08,33,147,2175,197
34,Jaime Nath,68,50 And Above,VIP,3,6495,7,2013-11-05,33,147,2165,196
35,Ebony Gonzalez,74,50 And Above,VIP,3,6491,4,2013-11-10,33,147,2163,196
36,Wendy Dominguez,73,50 And Above,VIP,3,6451,5,2013-11-15,33,147,2150,195
37,Jennifer Russell,42,40-49,New,1,2355,2,2013-01-22,0,157,2355,2355
38,Chloe Garcia,43,40-49,New,1,2374,7,2013-01-20,0,157,2374,2374
39,Diana Hernandez,73,50 And Above,VIP,3,6437,3,2013-11-12,33,147,2145,195
40,Marc Martin,72,50 And Above,VIP,3,6636,8,2013-11-11,33,147,2212,201
41,Jesse Murphy,43,40-49,New,1,2351,3,2013-04-03,0,154,2351,2351
